Name,Address,City,Zip Code,Phone,Contact Name,Email,Website,Business Type,Address,City,Zip Code,Phone,Email,Business Type,Categories
360-Total Concept Marketing,"555 12th St., Suite 900",Oakland,94607,,,,www.360tcpr.com/,For Profit,,,,,,,
360-Total Concept Marketing,,,,,,,,,"555 12th St., Suite 900",Oakland,94607,,,For Profit,News Media
510 Custom Audio,1313 31st Ave.,Oakland ,94601,(510) 532-2386,,,,Small Business,,,,,,,
510 Custom Audio,,,,,,,,,1313 31st Ave.,Oakland ,94601,(510) 532-2386,,Small Business,Construction & Repair
A - 1 Mufflers & Custom Autoworks,8670 International Blvd.,Oakland,94621,(510) 636-7153,,,,Small Business,,,,,,,
A - 1 Mufflers & Custom Autoworks,,,,,,,,,8670 International Blvd.,Oakland,94621,(510) 636-7153,,Small Business,Construction & Repair
A Diva's Closet,383 17th St. ,Oakland,94612,(510) 625-8085,,,,Small Business,,,,,,,
A Diva's Closet,,,,,,,,,383 17th St. ,Oakland,94612,(510) 625-8085,,Small Business,Fashion & Design
Adeeni Design Group,P.O. Box 641483,San Francisco,94109,(415)928-4685,,claudia@adeenidg.com,http://www.adeenidesigngroup.com/,Small Business,,,,,,,
Adeeni Design Group,,,,,,,,,P.O. Box 641483,San Francisco,94109,(415)928-4685,claudia@adeenidg.com,Small Business,Art & Design
Albany Fire Department,1000 San Pablo Ave.,Albany,94706,(415) 254-7423,,gaubert@albanca.org,,Government,,,,,,,
Albany Fire Department,,,,,,,,,1000 San Pablo Ave.,Albany,94706,(415) 254-7423,gaubert@albanca.org,Government,Public Services
All Of Us Or None,1540 Market St. Ste. 490,San Francisco,94102,(415) 255-7036 x328,,manuel@prisonerswithchildren.org,prisonerswithchildren.org,Non Profit,,,,,,,
All Of Us Or None,,,,,,,,,1540 Market St. Ste. 490,San Francisco,94102,(415) 255-7036 x328,manuel@prisonerswithchildren.org,Non Profit,Policy & Advocacy
APEN (Asian Pacific Environmental Network),"310 8th St., Suite 309",Oakland,94607,(510) 834-8920 x302,,mrtaruc@apen4ej.org,http://archive.apen4ej.org/index.htm,Non Profit,,,,,,,
APEN (Asian Pacific Environmental Network),,,,,,,,,"310 8th St., Suite 309",Oakland,94607,(510) 834-8920 x302,mrtaruc@apen4ej.org,Non Profit,Science & Environment
Arizmendi,3265 Lakeshore Ave.,Oakland,94610,(510) 268-849,,vnshernandez@hotmail.com,www.arizmendibakery.org/,Small Business,,,,,,,
Arizmendi,,,,,,,,,3265 Lakeshore Ave.,Oakland,,(510) 268-849,vnshernandez@hotmail.com,Small Business,Food Services
Asian Communities for Reproductive Rights,"1440 Broadway, Suite 301",Oakland,94612,(510) 663-8300,,,,Non Profit,,,,,,,
Asian Communities for Reproductive Rights,,,,,,,,,"1440 Broadway, Suite 301",Oakland,94612,(510) 663-8300,,Non Profit,Policy & Advocacy 
Berkeley Animal Shelter,2013 Second St.,Berkeley,94703,(510) 981-6600  x1000,,"mef1@ci.berkeley.ca.us, afunghi2@ci.berkeley.ca.us",www.ci.berkeley.ca.us,Nonprofit,,,,,,,
Berkeley Animal Shelter,,,,,,,,,2013 Second St.,Berkeley,94703,(510) 981-6600  x1000,"mef1@ci.berkeley.ca.us, afunghi2@ci.berkeley.ca.us",Nonprofit,Animals 
Body Mechanix,2128 Adams Ave.,San Leandro,94577,"(510) 636-1830, (510) 776-8845",,marlon.gomez@bmfit.com,body-mechanix.com/,Small Business,,,,,,,
Body Mechanix,,,,,,,,,2128 Adams Ave.,San Leandro,,"(510) 636-1830, (510) 776-8845",marlon.gomez@bmfit.com,Small Business,Fitness & Athletics
Café Platano,2042 University Ave.,Berkeley,94704,(510) 704-0325,,nicolas@cafeplatano.com,www.cafeplatano.com/,Small Business,,,,,,,
Café Platano,,,,,,,,,2042 University Ave.,Berkeley,94704,(510) 704-0325,nicolas@cafeplatano.com,Small Business,Food Services
California Coalition of Women Prisoners (CCWP),"1540 Market St., Suite 490",San Francisco,94102,(415) 255-7036 x4,,"deirdre@womenprisoners.org, hafsah@womenprisoners.org",womenprisoners.org/,Non Profit,,,,,,,
California Coalition of Women Prisoners (CCWP),,,,,,,,,"1540 Market St., Suite 490",San Francisco,94102,(415) 255-7036 x4,"deirdre@womenprisoners.org, hafsah@womenprisoners.org",Non Profit,Policy & Advocacy 
Cartoon Art Museum,655 Mission St.,San Francisco,94105,(415) 227-8666 x310,,"heather.plunkett@gmail.com, bookstore@cartoonartmuseum.org",cartoonart.org,Non Profit,,,,,,,
Cartoon Art Museum,,,,,,,,,655 Mission St.,San Francisco,94105,(415) 227-8666 x310,"heather.plunkett@gmail.com, bookstore@cartoonartmuseum.org",Non Profit,Art & Design
Castro's Design,3208 International Blvd.,Oakland,94601,(510) 536-6106,,,www.castrodesignstudio.com/,Small Business,,,,,,,
Castro's Design,,,,,,,,,3208 International Blvd.,Oakland,94601,(510) 536-6106,,Small Business,Fashion & Design
Chiodo Art Design,1933 Peralta St.,Oakland,94607,(510) 663-6050,,kim@chiodoart.com,www.chiodoart.com/,Small Business,,,,,,,
Chiodo Art Design,,,,,,,,,1933 Peralta St,Oakland,94607,(510) 663-6050,kim@chiodoart.com,Small Business,Art & Design
Classics by Steve,3906 Adeline St.,Emeryville,94608,(510) 655-6464,,"<theinfo@classicsbysteve.com>,",www.classicsbysteve.com/,Small Business,,,,,,,
